name,v_nom
1,115.0
2,115.0
3,115.0
4,115.0
5,115.0
6,115.0
7,115.0
8,115.0
9,115.0
10,115.0
11,115.0
12,115.0
13,115.0
14,230.0
15,115.0
16,115.0
17,115.0
18,115.0
19,115.0
20,115.0
21,115.0
22,115.0
23,115.0
24,115.0
25,115.0
26,115.0
27,115.0
28,115.0
29,115.0
30,115.0
31,115.0
32,115.0
33,115.0
34,115.0
35,115.0
36,115.0
37,115.0
38,115.0
39,115.0
40,115.0
41,115.0
42,115.0
43,115.0
44,115.0
45,230.0
46,115.0
47,115.0
48,115.0
49,13.8
50,13.8
51,13.8
52,13.8
53,13.8
54,115.0
55,230.0
56,115.0
57,115.0
58,115.0
59,115.0
60,115.0
61,115.0
62,115.0
63,115.0
64,115.0
65,13.8
66,115.0
67,13.8
68,13.8
69,13.8
70,13.8
71,13.8
72,13.8
73,13.8
74,115.0
75,115.0
76,13.8
77,13.8
78,13.8
79,13.8
80,115.0
81,230.0
82,115.0
83,115.0
84,115.0
85,115.0
86,115.0
87,230.0
88,115.0
89,115.0
90,13.8
91,13.8
92,13.8
93,115.0
94,13.8
95,115.0
96,115.0
97,115.0
98,230.0
99,115.0
100,115.0
101,115.0
102,230.0
103,115.0
104,13.8
105,13.8
106,115.0
107,115.0
108,115.0
109,115.0
110,115.0
111,115.0
112,230.0
113,115.0
114,13.8
115,13.8
116,230.0
117,115.0
118,115.0
119,115.0
120,115.0
121,230.0
122,115.0
123,230.0
124,115.0
125,13.8
126,13.8
127,13.8
128,230.0
129,115.0
130,115.0
131,115.0
132,115.0
133,230.0
134,115.0
135,13.8
136,13.8
137,115.0
138,115.0
139,115.0
140,115.0
141,115.0
142,115.0
143,115.0
144,115.0
145,115.0
146,115.0
147,13.8
148,115.0
149,230.0
150,115.0
151,13.8
152,13.8
153,13.8
154,13.8
155,13.8
156,230.0
157,115.0
158,115.0
159,115.0
160,115.0
161,13.8
162,115.0
163,115.0
164,13.8
165,13.8
166,13.8
167,13.8
168,13.8
169,13.8
170,13.8
171,115.0
172,115.0
173,115.0
174,115.0
175,115.0
176,115.0
177,115.0
178,230.0
179,115.0
180,115.0
181,115.0
182,13.8
183,13.8
184,115.0
185,115.0
186,115.0
187,230.0
188,115.0
189,13.8
190,115.0
191,115.0
192,115.0
193,115.0
194,115.0
195,115.0
196,13.8
197,13.8
198,115.0
199,115.0
200,115.0
